,species,length
779,Eukaryota,325
780,Eukaryota,440
781,Eukaryota,1988
782,Eukaryota,1168
783,Eukaryota,284
784,Eukaryota,325
785,Eukaryota,793
786,Eukaryota,783
787,Eukaryota,763
788,Eukaryota,754
789,Eukaryota,744
790,Eukaryota,701
791,Eukaryota,585
792,Eukaryota,542
793,Eukaryota,496
794,Eukaryota,466
795,Eukaryota,462
796,Eukaryota,432
797,Eukaryota,363
798,Eukaryota,2548
799,Eukaryota,2530
800,Eukaryota,523
801,Eukaryota,2575
802,Eukaryota,2569
803,Eukaryota,2505
804,Eukaryota,2337
805,Eukaryota,402
806,Eukaryota,1277
807,Eukaryota,1277
808,Eukaryota,316
809,Eukaryota,392
810,Eukaryota,632
811,Eukaryota,640
812,Eukaryota,604
813,Eukaryota,601
814,Eukaryota,565
815,Eukaryota,532
816,Eukaryota,493
817,Eukaryota,239
818,Bacteria,723
819,Bacteria,565
820,Bacteria,229
821,Bacteria,597
822,Bacteria,630
823,Bacteria,567
824,Bacteria,228
825,Bacteria,567
826,Bacteria,617
827,Bacteria,604
828,Bacteria,349
829,Bacteria,437
830,Bacteria,629
831,Bacteria,213
832,Bacteria,619
833,Bacteria,188
834,Eukaryota,265
835,Eukaryota,2510
836,Eukaryota,404
837,Eukaryota,368
838,Eukaryota,644
839,Eukaryota,326
840,Eukaryota,567
841,Eukaryota,301
842,Eukaryota,390
843,Eukaryota,1135
844,Eukaryota,390
845,Eukaryota,431
846,Eukaryota,900
847,Eukaryota,565
848,Eukaryota,565
849,Eukaryota,337
850,Eukaryota,337
851,Eukaryota,265
852,Eukaryota,325
853,Eukaryota,481
854,Eukaryota,617
855,Eukaryota,618
856,Eukaryota,828
857,Eukaryota,741
858,Eukaryota,698
859,Eukaryota,581
860,Eukaryota,394
861,Eukaryota,360
862,Eukaryota,2584
863,Eukaryota,403
864,Eukaryota,318
865,Bacteria,782
866,Bacteria,566
867,Bacteria,203
868,Bacteria,1052
869,Bacteria,1228
870,Bacteria,986
871,Bacteria,1226
872,Bacteria,706
873,Bacteria,1603
874,Bacteria,861
875,Bacteria,148
876,Bacteria,985
877,Bacteria,144
878,Bacteria,1594
879,Bacteria,1362
880,Bacteria,147
881,Eukaryota,644
882,Eukaryota,644
883,Eukaryota,485
884,Eukaryota,518
885,Eukaryota,139
886,Eukaryota,267
887,Bacteria,1673
